Date,Open,High,Low,Close,Adj Close,Volume
2007-01-12,46.238758,46.675213,46.007690,46.213085,30.514179,1665241
2007-01-15,46.264431,46.623867,46.136063,46.392799,30.632839,1384832
2007-01-16,46.367126,46.931953,46.264431,46.675213,30.819323,1581510
2007-01-17,46.572517,47.240040,46.341454,46.572517,30.751501,1804491
2007-01-18,46.418476,46.777908,46.007690,46.161736,30.480270,1845217
2007-01-19,45.956345,46.623867,45.648258,46.341454,30.598938,1999958
2007-01-22,46.290104,46.803585,46.136063,46.136063,30.463326,2453414
2007-01-23,46.290104,46.700890,45.982018,46.675213,30.819323,2550193
2007-01-24,46.469822,47.111671,46.136063,46.880608,30.954945,2332501
2007-01-25,45.725281,46.187408,45.186127,45.648258,30.141224,5510541
2007-01-26,45.442863,45.853649,45.263149,45.442863,30.005604,2310495
2007-01-29,45.519886,46.521172,45.519886,46.315781,30.581984,2802869
2007-01-30,46.110390,46.264431,45.827976,45.956345,30.344658,2824144
2007-01-31,45.725281,46.007690,45.596909,45.879322,30.293797,2624073
2007-02-01,46.238758,46.623867,45.956345,46.315781,30.581984,2307655
2007-02-02,46.469822,46.469822,45.879322,46.110390,30.446369,1763044
2007-02-05,45.982018,46.392799,45.956345,46.136063,30.463326,1103060
2007-02-06,46.187408,46.392799,45.982018,46.110390,30.446369,1432452
2007-02-07,46.238758,46.418476,45.879322,46.367126,30.615892,1291648
2007-02-08,46.315781,46.367126,45.545563,45.930672,30.327702,1677849
2007-02-09,46.213085,46.341454,45.802299,45.802299,30.242935,1494807
2007-02-12,45.519886,45.571236,45.160454,45.314495,29.920849,1771874
2007-02-13,45.288822,45.622581,45.083431,45.263149,29.886942,1623611
2007-02-14,45.288822,45.648258,45.083431,45.442863,30.005604,2110778
2007-02-15,45.288822,45.571236,45.109104,45.365845,29.954750,1465708
2007-02-16,45.391518,45.391518,44.749668,44.775345,29.564846,2152260
2007-02-19,44.854931,45.114239,44.623867,45.026947,29.730976,1989110
2007-02-20,44.952492,45.180992,44.390236,44.590492,29.442791,1801866
2007-02-21,44.983303,45.532722,44.929386,45.532722,30.064938,3511335
2007-02-22,45.568668,45.999989,45.537861,45.817703,30.253113,2970966
2007-02-23,45.727844,46.161736,45.545563,45.881889,30.295492,1957335
2007-02-26,46.172005,46.598194,46.064175,46.562248,30.744730,2194455
2007-02-27,47.060322,47.060322,45.263149,45.622581,30.124271,5114268
2007-02-28,44.711159,45.083431,44.043636,44.485229,29.373285,5205875
2007-03-01,44.223354,45.006409,42.405640,43.314495,28.600262,6181553
2007-03-02,44.005123,44.541710,43.671364,44.012829,29.061365,4309000
2007-03-05,43.645691,43.946075,43.021812,43.555832,28.759605,4241071
2007-03-06,44.159168,44.410774,43.722713,44.374828,29.300383,3108919
2007-03-07,44.428745,45.186127,44.146332,45.001274,29.714027,3655859
2007-03-08,45.383816,45.442863,44.934521,45.165588,29.822527,2412575
2007-03-09,45.006409,45.304226,44.500633,45.170723,29.825907,2058768
2007-03-12,45.365845,45.717579,44.564816,44.839527,29.607225,2569434
2007-03-13,44.693188,45.178425,44.313213,44.313213,29.259705,2505965
2007-03-14,43.720142,44.297810,43.630287,43.915264,28.996937,4469295
2007-03-15,44.415909,44.829258,44.133495,44.829258,29.600447,3135253
2007-03-16,44.595627,44.942223,44.148899,44.272133,29.232578,3292525
2007-03-19,44.654675,45.096268,44.351723,45.096268,29.776754,1785448
2007-03-20,44.996140,45.288822,44.551979,45.281120,29.898809,1563422
2007-03-21,45.317062,45.455704,45.014111,45.111671,29.786924,1177614
2007-03-22,45.676498,46.084713,45.417191,46.084713,30.429413,2922687
2007-03-23,45.830544,45.982018,45.602043,45.776627,30.225986,1991969
2007-03-26,45.699604,46.066742,45.427460,45.704739,30.178520,1985885
2007-03-27,45.804867,46.007690,45.494213,45.853649,30.276846,1476692
2007-03-28,45.442863,45.838245,45.317062,45.676498,30.159874,2455766
2007-03-29,45.848515,46.854931,45.789463,46.729130,30.854916,2287997
2007-03-30,46.544277,47.227203,46.264431,46.854931,30.937979,1819814
2007-04-02,46.598194,47.019245,46.495499,46.937088,30.992231,1888167
2007-04-03,46.937088,47.206665,46.616165,47.183559,31.154976,2566626
2007-04-04,47.183559,47.440296,46.716293,47.440296,31.324501,1790866
2007-04-05,47.483944,47.558399,47.240040,47.558399,31.402477,1224058
2007-04-10,47.247742,48.241325,47.247742,48.146332,31.790689,1897165
2007-04-11,48.010258,48.259296,47.460838,47.535290,31.387217,1751145
2007-04-12,47.188694,47.496780,46.551979,46.942223,30.995621,2344143
2007-04-13,46.983303,47.291389,46.623867,47.191261,31.160067,1662495
2007-04-16,47.368412,47.822838,47.150181,47.822838,31.577084,2235403
2007-04-17,47.753521,47.958912,47.496780,47.853649,31.597429,1932185
2007-04-18,47.527588,47.753521,46.726563,47.042351,31.061733,2441094
2007-04-19,46.598194,47.360706,46.259296,47.342735,31.260075,3408819
2007-04-20,47.373547,48.266998,47.342735,48.056473,31.731350,3803698
2007-04-23,48.115520,48.266998,47.250313,47.322197,31.246513,2008352
2007-04-24,47.296524,48.164303,47.296524,47.689335,31.488932,2535314
2007-04-25,47.240040,47.494213,46.698322,46.919117,30.980362,2826111
2007-04-26,47.291389,47.304226,46.600761,46.847229,30.932899,2655342
2007-04-27,46.634136,46.749668,46.130928,46.233624,30.527733,3429014
2007-04-30,46.233624,46.998707,46.213085,46.916550,30.978670,2058737
2007-05-02,46.998707,47.175858,46.464687,46.595627,30.766762,2527859
2007-05-03,46.521172,46.752235,46.367126,46.485226,30.693869,2874720
2007-05-04,46.508335,46.906281,46.508335,46.826691,30.919331,2284145
2007-05-07,46.806152,46.970467,46.744534,46.883175,30.956635,1330746
2007-05-08,46.726563,46.844662,46.444149,46.623867,30.785425,1684985
2007-05-09,46.726563,46.795883,46.482658,46.557114,30.741335,1378954
2007-05-10,46.405640,46.723995,46.238758,46.238758,30.531126,2180705
2007-05-11,46.154034,46.623867,45.699604,46.521172,30.717604,2534527
